,名前,名詞,エネルギー,タンパク質,脂質,食物繊維総量,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミン6,ビタミン12,葉酸,パントテン酸,ビオチン,ビタミンC,time
2212,＜キャンデー類＞　ブリットル,"['キャンデー', '類', 'ブリットル']",506.0,12.6,26.5,3.6,58.1,72.0,380.0,26.0,100.0,200.0,0.9,1.5,0.35,1.08,0,1.0,0.0,48.0,0.0,0.0,5.4,0.0,0.12,0.07,12.0,0.23,0.0,29.0,1.1,53.0,0.0,23.0
2213,＜キャンデー類＞　マシュマロ,"['キャンデー', '類', 'マシュマロ']",324.0,2.1,0.0,0,79.3,7.0,1.0,1.0,0.0,1.0,0.1,0.0,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2214,＜キャンデー類＞　ラムネ,"['キャンデー', '類', 'ラムネ']",373.0,0.0,0.5,0,92.2,67.0,5.0,110.0,2.0,5.0,0.1,0.0,0.05,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0
2215,＜チョコレート類＞　アーモンドチョコレート,"['チョコレート', '類', 'アーモンド', 'チョコレート']",562.0,11.4,40.4,6.1,43.3,41.0,550.0,240.0,150.0,320.0,2.8,2.3,0.77,1.14,12,4.0,15.0,7.0,41.0,0.6,11.0,4.0,0.19,0.64,2.1,0.1,0.0,35.0,1.18,4.9,0.0,20.0
2216,＜チョコレート類＞　カバーリングチョコレート,"['チョコレート', '類', 'カバーリングチョコレート']",488.0,7.1,24.3,3.2,64.2,170.0,320.0,270.0,53.0,180.0,1.8,1.2,0.38,0.47,13,5.0,15.0,10.0,45.0,0.6,0.8,4.0,0.16,0.33,1.1,0.09,0.0,17.0,1.18,5.4,0.0,15.0
2217,＜チョコレート類＞　ホワイトチョコレート,"['チョコレート', '類', 'ホワイト', 'チョコレート']",588.0,7.2,39.5,0.6,50.9,92.0,340.0,250.0,24.0,210.0,0.1,0.8,0.02,0.02,20,5.0,1.0,8.0,47.0,0.0,0.8,9.0,0.08,0.39,0.2,0.05,0.0,8.0,1.05,4.4,0.0,15.0
2218,＜チョコレート類＞　ミルクチョコレート,"['チョコレート', '類', 'ミルク', 'チョコレート']",551.0,6.9,34.1,3.9,55.8,64.0,440.0,240.0,74.0,240.0,2.4,1.6,0.55,0.41,19,6.0,24.0,11.0,63.0,1.0,0.7,6.0,0.19,0.41,1.2,0.11,0.0,18.0,1.56,7.6,0.0,13.0
2219,＜果実菓子類＞　マロングラッセ,"['果実', '菓子', '類', 'マロングラッセ']",303.0,1.1,0.3,0,77.4,28.0,60.0,8.0,0.0,20.0,0.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2220,＜チューインガム類＞　板ガム,"['チューインガム', '類', '板', 'ガム']",388.0,0.0,0.0,0,96.9,3.0,3.0,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2221,＜チューインガム類＞　糖衣ガム,"['チューインガム', '類', '糖衣', 'ガム']",390.0,0.0,0.0,0,97.6,2.0,4.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2222,＜チューインガム類＞　風船ガム,"['チューインガム', '類', '風船', 'ガム']",387.0,0.0,0.0,0,96.7,3.0,4.0,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2223,＜その他＞　カスタードクリーム,"['その他', 'カスタード', 'クリーム']",174.0,5.1,7.6,0.2,24.8,34.0,120.0,93.0,9.0,140.0,0.7,0.9,0.02,0.04,18,10.0,0.0,5.0,120.0,1.9,2.5,7.0,0.07,0.16,0.1,0.07,0.6,26.0,0.83,11.0,1.0,20.0
2224,＜その他＞　しるこ　こしあん,"['その他', 'しるこ']",211.0,4.7,0.3,3.2,48.7,2.0,29.0,35.0,14.0,40.0,1.3,0.5,0.11,0.35,0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.01,0.02,0.0,0.0,0.0,1.0,0.03,1.2,0.0,18.0
2225,＜その他＞　しるこ　つぶしあん,"['その他', 'しるこ', 'つぶし']",179.0,4.2,0.4,4.3,40.5,42.0,120.0,14.0,17.0,55.0,1.1,0.5,0.15,0.3,0,0.0,1.0,37.0,0.0,0.0,0.1,4.0,0.01,0.02,0.1,0.02,0.0,6.0,0.13,1.3,0.0,17.0
